zone,category,name,year,month,month_end,start_day,end_day
2,1,KATIA 2011,2011,8,9,28,12
2,1,NOEL 2007,2007,10,11,24,6
2,1,OPHELIA 2005,2005,9,9,6,23
2,1,JEANNE 2004,2004,9,9,13,29
2,1,GASTON 2004,2004,8,9,27,3
2,1,GUSTAV 2002,2002,9,9,8,15
2,1,GABRIELLE 2001,2001,9,9,11,21
2,1,MICHAEL 2000,2000,10,10,15,20
2,1,FLORENCE 2000,2000,9,9,10,17
2,1,FELIX 1995,1995,8,8,8,25
2,1,ERIN 1995,1995,7,8,31,6
2,1,GORDON 1994,1994,11,11,8,21
2,1,LILI 1990,1990,10,10,6,15
2,1,BERTHA 1990,1990,7,8,24,2
2,1,CHARLEY 1986,1986,8,8,13,30
2,1,KATE 1985,1985,11,11,15,23
2,1,BOB 1985,1985,7,7,21,26
2,1,DENNIS 1981,1981,8,8,7,22
2,1,KENDRA 1978,1978,10,11,28,3
2,1,DAWN 1972,1972,9,9,5,14
2,1,KARA 1969,1969,10,10,7,19
2,1,DOLLY 1968,1968,8,8,10,17
2,1,ABBY 1968,1968,6,6,1,13
2,1,DORIA 1967,1967,9,9,4,21
2,1,ALMA 1966,1966,6,6,5,14
2,1,ISBELL 1964,1964,10,10,9,16
2,1,GLADYS 1964,1964,9,9,13,25
2,1,CLEO 1964,1964,8,9,20,11
2,1,UNNAMED 1962,1962,11,12,26,6
2,1,ALMA 1962,1962,8,9,26,2
2,1,CLEO 1960,1960,8,8,17,21
2,1,JUDITH 1959,1959,10,10,14,22
2,1,CINDY 1959,1959,7,7,4,12
2,1,JANICE 1958,1958,10,10,4,13
2,1,DIANE 1955,1955,8,8,7,23
2,1,HAZEL 1953,1953,10,10,7,16
2,1,BARBARA 1953,1953,8,8,11,16
2,1,BAKER 1952,1952,8,9,31,10
2,1,JIG 1951,1951,10,10,15,20
2,1,ABLE 1951,1951,5,5,16,24
2,1,KING 1950,1950,10,10,13,20
2,1,UNNAMED 1948,1948,11,11,8,11
2,1,UNNAMED 1946(1),1946,10,10,5,14
2,1,UNNAMED 1946(2),1946,7,7,5,10
2,1,UNNAMED 1945(1),1945,10,10,10,16
2,1,UNNAMED 1945(2),1945,9,9,12,20
2,1,UNNAMED 1945(3),1945,6,7,20,4
2,1,UNNAMED 1944(1),1944,7,8,30,4
2,1,UNNAMED 1944(2),1944,7,7,13,20
2,1,UNNAMED 1941,1941,9,9,18,25
